,precision,recall,f1-score,support
0,0.9882839421088904,0.9930747922437673,0.9906735751295337,1444.0
1,0.9785223367697594,0.9818965517241379,0.9802065404475043,1160.0
2,0.9941605839416059,0.978448275862069,0.9862418537291817,696.0
accuracy,0.9860606060606061,0.9860606060606061,0.9860606060606061,0.9860606060606061
macro avg,0.9869889542734186,0.9844732066099914,0.9857073231020732,3300.0
weighted avg,0.986092027115611,0.9860606060606061,0.986059563515655,3300.0
