,precision,recall,f1-score,support
0,0.8784604996623903,0.9009695290858726,0.8895726495726496,1444.0
1,0.8068085106382978,0.8172413793103448,0.8119914346895075,1160.0
2,0.9503105590062112,0.8793103448275862,0.9134328358208955,696.0
accuracy,0.866969696969697,0.866969696969697,0.866969696969697,0.866969696969697
macro avg,0.8785265231022997,0.8658404177412679,0.8716656400276842,3300.0
weighted avg,0.8684275705821939,0.866969696969697,0.8673340072588115,3300.0
