,precision,recall,f1-score,support
0,0.9923822714681441,0.9923822714681441,0.9923822714681441,1444.0
1,0.9786324786324786,0.9870689655172413,0.9828326180257511,1160.0
2,0.9941690962099126,0.9798850574712644,0.9869753979739508,696.0
accuracy,0.9878787878787879,0.9878787878787879,0.9878787878787879,0.9878787878787879
macro avg,0.988394615436845,0.9864454314855499,0.987396762489282,3300.0
weighted avg,0.9879258685381133,0.9878787878787879,0.9878850648181033,3300.0
