,precision,recall,f1-score,support
0,0.9737387698686939,0.9757617728531855,0.9747492217225874,1444.0
1,0.9623797025371829,0.9482758620689655,0.9552757273122015,1160.0
2,0.9690140845070423,0.9885057471264368,0.9786628733997155,696.0
accuracy,0.9687878787878788,0.9687878787878788,0.9687878787878788,0.9687878787878788
macro avg,0.968377518970973,0.9708477940161959,0.9695626074781681,3300.0
weighted avg,0.9687494065001294,0.9687878787878788,0.9687294181017491,3300.0
