,precision,recall,f1-score,support
0,0.9882920110192838,0.9937673130193906,0.9910220994475138,1444.0
1,0.9802235597592434,0.9827586206896551,0.9814894532931554,1160.0
2,0.9956204379562044,0.9798850574712644,0.9876900796524257,696.0
accuracy,0.9869696969696969,0.9869696969696969,0.9869696969696969,0.9869696969696969
macro avg,0.9880453362449105,0.9854703303934368,0.9867338774643649,3300.0
weighted avg,0.9870014600151777,0.9869696969696969,0.986968476624351,3300.0
