,precision,recall,f1-score,support
0,0.9834254143646409,0.9861495844875346,0.9847856154910097,1444.0
1,0.9632478632478633,0.971551724137931,0.967381974248927,1160.0
2,0.9868035190615836,0.9669540229885057,0.97677793904209,696.0
accuracy,0.9769696969696969,0.9769696969696969,0.9769696969696969,0.9769696969696969
macro avg,0.9778255988913626,0.9748851105379904,0.9763151762606755,3300.0
weighted avg,0.9770451724172502,0.9769696969696969,0.9769790801427478,3300.0
