,precision,recall,f1-score,support
0,0.9930699930699931,0.9923822714681441,0.9927260131624523,1444.0
1,0.981180496150556,0.9887931034482759,0.9849720910261915,1160.0
2,0.9956395348837209,0.9841954022988506,0.9898843930635838,696.0
accuracy,0.9893939393939394,0.9893939393939394,0.9893939393939394,0.9893939393939394
macro avg,0.98996334136809,0.9884569257384236,0.9891941657507425,3300.0
weighted avg,0.9894325944869045,0.9893939393939394,0.9894010685361264,3300.0
