primary_sim,secondary_sim,adj_sim,adj_weight,primary_secondary_ratio,primary_adj_ratio,primary_secondary_diff,weighted_primary,composite_score,suitability
1.2403846153846154,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,3263404.4883449334,4751132.5920059625,1.303658244774439,2.282051282051282,1.1177727125057433,1
0.14673913043478243,-0.040293040293039546,-0.6101387137452715,0.8823529411764706,0.10013175197627668,0.690963026213572,0.13163928557221827,0.5960144927536228,0.10512664253147898,0
-0.375,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,-0.12121216636363419,-0.24509810212417737,-0.22748398902104308,-0.20833333333333331,-0.5374743123770551,0
-0.375,-0.02751719824890515,-0.5169230769230768,0.8823529411764706,-0.12121216636363419,-0.24509810212417737,-0.366193738424118,-0.20833333333333331,-0.422910455574714,0
-0.041666666666666685,-0.5641025641025632,-0.48392798690671157,0.8823529411764706,673400.8299662827,0.21568615169938052,0.08846599573040556,0.3055555555555555,-0.16975344342470636,0
0.625,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,2020202.732323181,2941177.2254901286,0.7203659652333029,1.3333333333333333,0.4872024173122963,1
0.7159090909090908,-0.2891025641025632,-0.5169230769230768,0.8823529411764706,0.7603305443801601,1.359179716057766,0.7354453963237128,1.4734848484848484,0.6510575416326208,1
0.375,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,1515152.0189393442,2205882.8578430708,0.4834034766697164,0.9479166666666667,0.23103323488995847,0
1.125,0.3277893277893279,-0.48392798690671157,0.8823529411764706,0.25252531544611606,1.828431040081833,0.9637328453796892,2.1041666666666665,1.175250155816181,2
0.8250000000000001,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,2424243.3030302506,3529412.7196077746,0.9099359560841722,1.6416666666666668,0.6921377632501666,1
0.625,-0.5641025641025632,0.19692307692307642,0.8823529411764706,2020202.732323181,0.372549036993452,0.7203659652333029,1.3333333333333333,0.5457553732945449,1
0.7159090909090908,-0.2891025641025632,-0.5063736263736268,0.8823529411764706,0.7603305443801601,1.327094175416044,0.7354453963237128,1.4734848484848484,0.6515594241124685,1
0.1249999999999998,-0.5641025641025632,-1.0338461538461536,0.8823529411764706,1010101.305555507,1470588.4901960124,0.24644098810612972,0.5624999999999998,-0.025135947532379584,0
1.625,-0.3141025641025635,-1.0338461538461536,0.8823529411764706,1.6565655625252727,5882354.696078359,1.6035897862430346,2.8749999999999996,1.5537977404889394,2
0.8250000000000001,-0.2958098811757342,-0.22615384615384612,0.8823529411764706,0.872727230060605,0.8843136851699313,0.8405810813826348,1.6416666666666668,0.7755489482584159,1
0.5480769230769231,-0.274628879892037,-1.0338461538461536,0.8823529411764706,0.5874125652913669,2714932.8046756494,0.5726241707442653,1.2147435897435899,0.4569184491878742,1
1.625,0.030492030492030853,-0.5169230769230768,0.8823529411764706,0.6262627511615854,2.696077897876053,1.5145105215004573,2.8749999999999996,1.6361696649163993,2
0.4249999999999998,-0.2668052668052662,-0.5461828737300457,0.8823529411764706,0.4767676570302944,1.001960484464187,0.453943275388838,1.0249999999999997,0.3553164374175523,1
1.625,-0.5641025641025632,-0.3711242603550306,0.8823529411764706,4040405.5858585285,2.0490194302288085,1.668215919487649,2.8749999999999996,1.5434076617613197,2
1.625,-0.5641025641025632,0.22694183864915443,0.8823529411764706,4040405.5858585285,0.9607844136110826,1.668215919487649,2.8749999999999996,1.571860223861512,2
1.125,-0.5641025641025632,-0.3625174825174844,0.8823529411764706,3030304.159090855,1.4534312332067363,1.194290942360476,2.1041666666666665,1.0314787581472895,1
0.1249999999999998,-0.06410256410256378,-0.4464335664335671,0.8823529411764706,0.10101009863635592,0.4019606566993799,0.11718872161690089,0.5624999999999998,0.08664696843373143,0
0.75,-0.3021978021978014,-0.5169230769230768,0.8823529411764706,0.83333328102273,1.409313397875952,0.7711436413540715,1.5260416666666667,0.6837939670226962,1
