Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,CV_Score,CV_Std,Overfitting
XGBoost,0.9819925538830403,0.9819167639280807,0.9815624630658315,0.9821782855983766,0.0005600634811874167,7.578995495960417e-05
Decision Tree,0.9291605811685845,0.9279034378831976,0.9286136390497577,0.9495360941087849,0.0016191574842555805,0.0012571432853868414
AdaBoost,0.876809820094385,0.8769039845169678,0.8771126344403735,0.8768098169986885,0.00080651863454939,9.416442258280977e-05
Linear Regression,0.7746874234915704,0.7750084949842658,0.7734310365205058,0.1761571615414303,0.001959331250387699,0.0003210714926954461
